Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;1,00;2,00;0,50;25,00;2,00;0,50;0,50;2,00;0,50;0,50;2,00;0,50;0,50;2,00;0,50;0,50;25,00;2,00;0,50;0,50;25,00;2,00;0,50;0,50;25,00;2,00;0,50;0,50;25,00;2,00;0,50;0,50
2019-01-13;1,00;1,00;0,50;21,00;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;21,00;1,00;1,00;0,50;21,00;1,00;1,00;0,50;21,00;1,00;1,00;0,50;21,00;1,00;1,00;0,50
2019-01-20;1,00;1,00;0,50;13,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50
2019-01-27;2,00;1,00;1,00;12,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;12,00;1,00;0,50;1,00;12,00;1,00;0,50;1,00;12,00;1,00;0,50;1,00;12,00;1,00;0,50;1,00
2019-02-03;1,00;0,50;0,50;14,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;14,00;0,50;0,50;0,50;14,00;0,50;0,50;0,50;14,00;0,50;0,50;0,50;14,00;0,50;0,50;0,50
2019-02-10;1,00;0,50;0,50;13,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;13,00;0,50;0,50;0,50;13,00;0,50;0,50;0,50;13,00;0,50;0,50;0,50;13,00;0,50;0,50;0,50
2019-02-17;2,00;1,00;0,50;12,00;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;12,00;1,00;1,00;0,50;12,00;1,00;1,00;0,50;12,00;1,00;1,00;0,50;12,00;1,00;1,00;0,50
2019-02-24;1,00;1,00;0,50;13,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50
2019-03-03;2,00;1,00;1,00;10,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;10,00;1,00;0,50;1,00;10,00;1,00;0,50;1,00;10,00;1,00;0,50;1,00;10,00;1,00;0,50;1,00
2019-03-10;2,00;0,50;0,50;12,00;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;12,00;0,50;1,00;0,50;12,00;0,50;1,00;0,50;12,00;0,50;1,00;0,50;12,00;0,50;1,00;0,50
2019-03-17;1,00;1,00;0,50;10,00;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;10,00;1,00;1,00;0,50;10,00;1,00;1,00;0,50;10,00;1,00;1,00;0,50;10,00;1,00;1,00;0,50
2019-03-24;1,00;0,50;0,50;10,00;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;10,00;0,50;1,00;0,50;10,00;0,50;1,00;0,50;10,00;0,50;1,00;0,50;10,00;0,50;1,00;0,50
2019-03-31;1,00;0,50;0,50;7,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;7,00;0,50;0,50;0,50;7,00;0,50;0,50;0,50;7,00;0,50;0,50;0,50;7,00;0,50;0,50;0,50
2019-04-07;1,00;0,50;0,00;6,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;6,00;0,50;0,50;0,00;6,00;0,50;0,50;0,00;6,00;0,50;0,50;0,00;6,00;0,50;0,50;0,00
2019-04-14;0,50;0,50;0,50;7,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;7,00;0,50;0,50;0,50;7,00;0,50;0,50;0,50;7,00;0,50;0,50;0,50;7,00;0,50;0,50;0,50
2019-04-21;1,00;0,50;0,00;5,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;5,00;0,50;0,50;0,00;5,00;0,50;0,50;0,00;5,00;0,50;0,50;0,00;5,00;0,50;0,50;0,00
2019-04-28;1,00;0,50;0,50;5,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50
2019-05-05;1,00;0,50;0,50;4,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50
2019-05-12;1,00;0,50;0,00;2,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;2,00;0,50;0,50;0,00;2,00;0,50;0,50;0,00;2,00;0,50;0,50;0,00;2,00;0,50;0,50;0,00
2019-05-19;1,00;0,00;0,50;2,00;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;2,00;0,00;0,50;0,50;2,00;0,00;0,50;0,50;2,00;0,00;0,50;0,50;2,00;0,00;0,50;0,50
2019-05-26;1,00;0,50;0,00;3,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;3,00;0,50;0,50;0,00;3,00;0,50;0,50;0,00;3,00;0,50;0,50;0,00;3,00;0,50;0,50;0,00
2019-06-02;1,00;0,50;0,50;2,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;2,00;0,50;0,50;0,50;2,00;0,50;0,50;0,50;2,00;0,50;0,50;0,50;2,00;0,50;0,50;0,50
2019-06-09;1,00;0,50;0,50;2,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;2,00;0,50;0,50;0,50;2,00;0,50;0,50;0,50;2,00;0,50;0,50;0,50;2,00;0,50;0,50;0,50
2019-06-16;1,00;0,50;0,50;3,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;3,00;0,50;0,50;0,50;3,00;0,50;0,50;0,50;3,00;0,50;0,50;0,50;3,00;0,50;0,50;0,50
2019-06-23;1,00;0,00;0,50;3,00;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;3,00;0,00;0,50;0,50;3,00;0,00;0,50;0,50;3,00;0,00;0,50;0,50;3,00;0,00;0,50;0,50
2019-06-30;1,00;0,50;0,50;4,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50
2019-07-07;1,00;0,50;0,00;4,00;0,50;1,00;0,00;0,50;1,00;0,00;0,50;1,00;0,00;0,50;1,00;0,00;4,00;0,50;1,00;0,00;4,00;0,50;1,00;0,00;4,00;0,50;1,00;0,00;4,00;0,50;1,00;0,00
2019-07-14;1,00;0,50;0,50;4,00;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;4,00;0,50;1,00;0,50;4,00;0,50;1,00;0,50;4,00;0,50;1,00;0,50;4,00;0,50;1,00;0,50
2019-07-21;3,00;2,00;0,50;4,00;2,00;2,00;0,50;2,00;2,00;0,50;2,00;2,00;0,50;2,00;2,00;0,50;4,00;2,00;2,00;0,50;4,00;2,00;2,00;0,50;4,00;2,00;2,00;0,50;4,00;2,00;2,00;0,50
2019-07-28;2,00;0,50;0,50;5,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50
2019-08-04;2,00;0,50;0,50;5,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50
2019-08-11;2,00;0,50;0,50;6,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50
2019-08-18;1,00;0,50;0,50;6,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50
2019-08-25;1,00;0,50;0,50;5,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50
2019-09-01;2,00;0,50;0,50;5,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50
2019-09-08;1,00;1,00;0,50;5,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;5,00;1,00;0,50;0,50;5,00;1,00;0,50;0,50;5,00;1,00;0,50;0,50;5,00;1,00;0,50;0,50
2019-09-15;1,00;0,50;0,50;5,00;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;5,00;0,50;1,00;0,50;5,00;0,50;1,00;0,50;5,00;0,50;1,00;0,50;5,00;0,50;1,00;0,50
2019-09-22;1,00;0,50;0,50;5,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50
2019-09-29;1,00;0,50;0,50;5,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50
2019-10-06;0,50;0,50;0,50;6,00;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;6,00;0,50;1,00;0,50;6,00;0,50;1,00;0,50;6,00;0,50;1,00;0,50;6,00;0,50;1,00;0,50
2019-10-13;1,00;0,50;0,50;8,00;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;8,00;0,50;1,00;0,50;8,00;0,50;1,00;0,50;8,00;0,50;1,00;0,50;8,00;0,50;1,00;0,50
2019-10-20;1,00;0,50;0,50;6,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50
2019-10-27;1,00;1,00;0,50;7,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;7,00;1,00;0,50;0,50;7,00;1,00;0,50;0,50;7,00;1,00;0,50;0,50;7,00;1,00;0,50;0,50
2019-11-03;0,50;0,50;0,50;9,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;9,00;0,50;0,50;0,50;9,00;0,50;0,50;0,50;9,00;0,50;0,50;0,50;9,00;0,50;0,50;0,50
2019-11-10;1,00;1,00;0,50;10,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;10,00;1,00;0,50;0,50;10,00;1,00;0,50;0,50;10,00;1,00;0,50;0,50;10,00;1,00;0,50;0,50
2019-11-17;1,00;1,00;0,50;11,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;11,00;1,00;0,50;0,50;11,00;1,00;0,50;0,50;11,00;1,00;0,50;0,50;11,00;1,00;0,50;0,50
2019-11-24;1,00;1,00;0,50;13,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50
2019-12-01;1,00;1,00;0,50;13,00;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;13,00;1,00;1,00;0,50;13,00;1,00;1,00;0,50;13,00;1,00;1,00;0,50;13,00;1,00;1,00;0,50
2019-12-08;1,00;1,00;0,50;14,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;14,00;1,00;0,50;0,50;14,00;1,00;0,50;0,50;14,00;1,00;0,50;0,50;14,00;1,00;0,50;0,50
2019-12-15;1,00;1,00;0,50;13,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50
2019-12-22;2,00;1,00;0,50;19,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;19,00;1,00;0,50;0,50;19,00;1,00;0,50;0,50;19,00;1,00;0,50;0,50;19,00;1,00;0,50;0,50
2019-12-29;2,00;0,50;0,50;17,00;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;17,00;0,50;1,00;0,50;17,00;0,50;1,00;0,50;17,00;0,50;1,00;0,50;17,00;0,50;1,00;0,50
2020-01-05;1,00;1,00;0,50;15,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;15,00;1,00;0,50;0,50;15,00;1,00;0,50;0,50;15,00;1,00;0,50;0,50;15,00;1,00;0,50;0,50
2020-01-12;1,00;1,00;0,50;15,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;15,00;1,00;0,50;0,50;15,00;1,00;0,50;0,50;15,00;1,00;0,50;0,50;15,00;1,00;0,50;0,50
2020-01-19;1,00;1,00;1,00;12,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;12,00;1,00;0,50;1,00;12,00;1,00;0,50;1,00;12,00;1,00;0,50;1,00;12,00;1,00;0,50;1,00
2020-01-26;1,00;1,00;0,50;13,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50;13,00;1,00;0,50;0,50
2020-02-02;2,00;1,00;0,50;15,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;15,00;1,00;0,50;0,50;15,00;1,00;0,50;0,50;15,00;1,00;0,50;0,50;15,00;1,00;0,50;0,50
2020-02-09;2,00;0,50;1,00;12,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;12,00;0,50;1,00;1,00;12,00;0,50;1,00;1,00;12,00;0,50;1,00;1,00;12,00;0,50;1,00;1,00
2020-02-16;1,00;1,00;0,50;10,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;10,00;1,00;0,50;0,50;10,00;1,00;0,50;0,50;10,00;1,00;0,50;0,50;10,00;1,00;0,50;0,50
2020-02-23;1,00;1,00;0,50;10,00;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;10,00;1,00;0,50;0,50;10,00;1,00;0,50;0,50;10,00;1,00;0,50;0,50;10,00;1,00;0,50;0,50
2020-03-01;1,00;1,00;1,00;14,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;14,00;1,00;0,50;1,00;14,00;1,00;0,50;1,00;14,00;1,00;0,50;1,00;14,00;1,00;0,50;1,00
2020-03-08;1,00;1,00;1,00;100,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;1,00;0,50;1,00;100,00;1,00;0,50;1,00;100,00;1,00;0,50;1,00;100,00;1,00;0,50;1,00;100,00;1,00;0,50;1,00
2020-03-15;0,50;0,50;0,50;41,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;41,00;0,50;0,50;0,50;41,00;0,50;0,50;0,50;41,00;0,50;0,50;0,50;41,00;0,50;0,50;0,50
2020-03-22;0,50;0,50;0,50;28,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;28,00;0,50;0,50;0,50;28,00;0,50;0,50;0,50;28,00;0,50;0,50;0,50;28,00;0,50;0,50;0,50
2020-03-29;0,50;0,50;0,50;20,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;20,00;0,50;0,50;0,50;20,00;0,50;0,50;0,50;20,00;0,50;0,50;0,50;20,00;0,50;0,50;0,50
2020-04-05;0,50;0,50;0,50;14,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;14,00;0,50;0,50;0,50;14,00;0,50;0,50;0,50;14,00;0,50;0,50;0,50;14,00;0,50;0,50;0,50
2020-04-12;0,50;0,50;0,50;8,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;8,00;0,50;0,50;0,50;8,00;0,50;0,50;0,50;8,00;0,50;0,50;0,50;8,00;0,50;0,50;0,50
2020-04-19;0,50;0,00;0,00;7,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,50;0,00;7,00;0,00;0,50;0,00;7,00;0,00;0,50;0,00;7,00;0,00;0,50;0,00;7,00;0,00;0,50;0,00
2020-04-26;0,50;0,00;0,00;4,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,50;0,00;4,00;0,00;0,50;0,00;4,00;0,00;0,50;0,00;4,00;0,00;0,50;0,00;4,00;0,00;0,50;0,00
2020-05-03;0,50;0,50;0,50;4,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50
2020-05-10;1,00;0,50;0,00;6,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;6,00;0,50;0,50;0,00;6,00;0,50;0,50;0,00;6,00;0,50;0,50;0,00;6,00;0,50;0,50;0,00
2020-05-17;1,00;0,50;0,50;3,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;3,00;0,50;0,50;0,50;3,00;0,50;0,50;0,50;3,00;0,50;0,50;0,50;3,00;0,50;0,50;0,50
2020-05-24;0,50;0,50;0,00;3,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;3,00;0,50;0,50;0,00;3,00;0,50;0,50;0,00;3,00;0,50;0,50;0,00;3,00;0,50;0,50;0,00
2020-05-31;0,50;0,00;0,50;4,00;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;4,00;0,00;0,50;0,50;4,00;0,00;0,50;0,50;4,00;0,00;0,50;0,50;4,00;0,00;0,50;0,50
2020-06-07;1,00;0,50;0,50;7,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;7,00;0,50;0,50;0,50;7,00;0,50;0,50;0,50;7,00;0,50;0,50;0,50;7,00;0,50;0,50;0,50
2020-06-14;1,00;0,50;0,00;4,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;4,00;0,50;0,50;0,00;4,00;0,50;0,50;0,00;4,00;0,50;0,50;0,00;4,00;0,50;0,50;0,00
2020-06-21;1,00;0,50;0,00;10,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;0,50;0,50;0,00;10,00;0,50;0,50;0,00;10,00;0,50;0,50;0,00;10,00;0,50;0,50;0,00;10,00;0,50;0,50;0,00
2020-06-28;1,00;0,50;0,50;8,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;8,00;0,50;0,50;0,50;8,00;0,50;0,50;0,50;8,00;0,50;0,50;0,50;8,00;0,50;0,50;0,50
2020-07-05;1,00;0,50;0,50;5,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50;5,00;0,50;0,50;0,50
2020-07-12;1,00;0,50;0,50;6,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50;6,00;0,50;0,50;0,50
2020-07-19;2,00;0,50;0,50;4,00;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;0,50;1,00;0,50;4,00;0,50;1,00;0,50;4,00;0,50;1,00;0,50;4,00;0,50;1,00;0,50;4,00;0,50;1,00;0,50
2020-07-26;1,00;0,50;0,50;4,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50;4,00;0,50;0,50;0,50
2020-08-02;2,00;0,50;0,50;3,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,50;3,00;0,50;0,50;0,50;3,00;0,50;0,50;0,50;3,00;0,50;0,50;0,50;3,00;0,50;0,50;0,50
