Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2019-01-06;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;5,00;5,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;5,00;0,00;23,00;0,00;0,00;0,00;9,00;0,00;18,00;0,00;28,00;46,00;9,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;14,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;4,00;9,00;0,00;4,00;4,00;14,00;50,00;4,00;13,00;5,00;4,00;14,00;9,00;4,00;0,00
2019-01-20;98,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;9,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;13,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;4,00;0,00;0,00;9,00;13,00;40,00;18,00;4,00;9,00;9,00;18,00;13,00;0,00;0,00
2019-01-27;47,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;14,00;0,00;4,00;0,00;0,00;9,00;0,00;23,00;4,00;0,00;0,00;0,00;9,00;0,00;9,00;4,00;27,00;4,00;4,00;4,00;9,00;68,00;0,00;4,00;9,00;0,00;4,00;0,00;9,00;0,00
2019-02-03;41,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;9,00;4,00;4,00;0,00;0,00;0,00;0,00;9,00;0,00;4,00;4,00;4,00;0,00;0,00;22,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;9,00;39,00;17,00;4,00;0,00;9,00;9,00;9,00;0,00;0,00
2019-02-10;42,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;9,00;0,00;0,00;0,00;4,00;22,00;9,00;4,00;0,00;13,00;0,00;0,00;4,00;0,00;14,00;4,00;0,00;4,00;18,00;4,00;4,00;0,00;4,00;27,00;4,00;0,00;9,00;0,00;0,00;13,00;0,00;4,00
2019-02-17;39,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;5,00;5,00;5,00;0,00;19,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;5,00;33,00;0,00;5,00;5,00;5,00;9,00;9,00;0,00;9,00
2019-02-24;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;4,00;0,00;0,00;36,00;0,00;0,00;4,00;18,00;0,00;0,00;0,00;13,00;36,00;17,00;9,00;4,00;0,00;18,00;4,00;0,00;0,00
2019-03-03;42,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;5,00;0,00;9,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;4,00;0,00;23,00;9,00;0,00;0,00;22,00;4,00;4,00;0,00;14,00;18,00;4,00;0,00;4,00;0,00;9,00;18,00;0,00;0,00
2019-03-10;68,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;14,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;9,00;5,00;9,00;0,00;9,00;5,00;9,00;5,00;19,00;47,00;0,00;5,00;19,00;5,00;18,00;23,00;5,00;0,00
2019-03-17;44,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;14,00;5,00;0,00;5,00;0,00;14,00;5,00;5,00;0,00;23,00;0,00;0,00;0,00;14,00;42,00;14,00;9,00;0,00;0,00;9,00;0,00;5,00;0,00
2019-03-24;82,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;9,00;37,00;5,00;0,00;0,00;9,00;5,00;0,00;0,00;0,00;32,00;14,00;0,00;5,00;0,00;0,00;14,00;5,00;5,00
2019-03-31;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;23,00;0,00;5,00;5,00;5,00;9,00;0,00;0,00;5,00;51,00;0,00;9,00;5,00;0,00;5,00;5,00;0,00;0,00
2019-04-07;28,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;23,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;27,00;4,00;4,00;4,00;4,00;9,00;0,00;0,00;9,00
2019-04-14;43,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;9,00;0,00;0,00;5,00;37,00;0,00;0,00;14,00;0,00;5,00;9,00;0,00;9,00
2019-04-21;24,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;5,00;0,00;5,00;0,00;14,00;0,00;5,00;0,00;0,00;0,00;5,00;14,00;0,00;9,00;0,00;0,00;5,00;0,00;23,00;0,00;0,00;4,00;0,00;5,00;0,00;0,00;5,00;27,00;0,00;0,00;5,00;0,00;5,00;9,00;0,00;0,00
2019-04-28;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;9,00;0,00;5,00;4,00;0,00;0,00
2019-05-05;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;9,00;0,00;0,00;5,00;0,00;0,00;9,00;0,00;0,00
2019-05-12;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;19,00;0,00;0,00;0,00;14,00;5,00;0,00;0,00;5,00;19,00;5,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;9,00;5,00;0,00;0,00;9,00;37,00;9,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00
2019-05-26;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;9,00;4,00;4,00;0,00;0,00;27,00;0,00;4,00;4,00;9,00;9,00;0,00;0,00;0,00;50,00;13,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00
2019-06-02;46,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;22,00;4,00;0,00;4,00;4,00;4,00;0,00;0,00;4,00;13,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-06-09;46,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;18,00;0,00;0,00;0,00;0,00;17,00;0,00;4,00;0,00;18,00;4,00;0,00;4,00;0,00;4,00;17,00;4,00;0,00
2019-06-16;24,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;5,00;0,00;4,00;9,00;0,00;4,00;0,00;5,00;18,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-06-23;84,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;14,00;19,00;5,00;0,00;5,00;0,00;5,00;9,00;23,00;0,00
2019-06-30;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;9,00;5,00;0,00;5,00;5,00;38,00;0,00;0,00;9,00;5,00;5,00;5,00;9,00;0,00
2019-07-07;34,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;5,00;28,00;18,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;9,00;14,00;0,00;5,00;5,00;14,00;0,00;5,00;5,00
2019-07-14;44,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;37,00;18,00;0,00;5,00;0,00;5,00;5,00;0,00;5,00;23,00;0,00;0,00;9,00;5,00;5,00;0,00;0,00;0,00
2019-07-21;67,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;10,00;10,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;30,00;0,00;0,00;15,00;0,00;15,00;15,00;0,00;0,00
2019-07-28;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;20,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;10,00
2019-08-04;66,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;5,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;44,00;0,00;5,00;5,00;5,00;5,00;10,00;5,00;5,00
2019-08-11;39,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;9,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;9,00;23,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;9,00;42,00;18,00;0,00;14,00;5,00;0,00;18,00;0,00;5,00
2019-08-18;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;14,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;9,00;0,00;5,00;0,00;9,00;14,00;5,00;5,00;5,00;9,00;9,00;5,00;5,00;0,00
2019-08-25;34,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;23,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;9,00;32,00;5,00;5,00;9,00;14,00;5,00;0,00;5,00;0,00
2019-09-01;41,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;13,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;13,00;4,00;4,00;9,00;0,00;18,00;0,00;0,00;0,00;13,00;9,00;0,00;0,00;0,00;27,00;4,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;13,00;0,00;0,00;4,00;4,00;8,00;0,00;0,00;13,00;30,00;4,00;8,00;17,00;0,00;4,00;0,00;0,00;8,00
2019-09-15;40,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;21,00;8,00;26,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;13,00;34,00;4,00;0,00;30,00;4,00;0,00;13,00;4,00;13,00
2019-09-22;18,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;34,00;0,00;0,00;0,00;13,00;4,00;4,00;4,00;4,00;30,00;4,00;8,00;8,00;4,00;8,00;4,00;4,00;13,00
2019-09-29;31,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;8,00;0,00;8,00;0,00;4,00;8,00;13,00;4,00;0,00;8,00;13,00;17,00;8,00;4,00;8,00;0,00;8,00;8,00;0,00;0,00
2019-10-06;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;13,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;17,00;0,00;9,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;17,00;17,00;4,00;4,00;21,00;0,00;8,00;13,00;0,00;0,00
2019-10-13;37,00;0,00;0,00;4,00;9,00;4,00;4,00;0,00;9,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;4,00;4,00;0,00;17,00;0,00;22,00;4,00;4,00;0,00;9,00;4,00;4,00;4,00;26,00;22,00;4,00;0,00;22,00;9,00;4,00;9,00;4,00;9,00
2019-10-20;51,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;16,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;12,00;0,00;8,00;0,00;0,00;0,00;4,00;12,00;4,00;0,00;16,00;12,00;8,00;0,00;0,00;0,00;8,00;4,00;0,00;8,00
2019-10-27;36,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;13,00;0,00;26,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00;21,00;4,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00
2019-11-03;43,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;8,00;0,00;12,00;0,00;4,00;0,00;8,00;4,00;4,00;0,00;8,00;21,00;4,00;0,00;4,00;4,00;16,00;4,00;0,00;4,00
2019-11-10;43,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;4,00;0,00;8,00;0,00;8,00;4,00;0,00;8,00;0,00;37,00;0,00;0,00;0,00;12,00;0,00;12,00;4,00;12,00;45,00;4,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00
2019-11-17;43,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;17,00;8,00;0,00;0,00;4,00;8,00;16,00;0,00;4,00;37,00;4,00;0,00;29,00;0,00;8,00;4,00;0,00;4,00
2019-11-24;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;16,00;0,00;4,00;0,00;12,00;24,00;8,00;4,00;20,00;0,00;8,00;4,00;4,00;0,00
2019-12-01;60,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;4,00;4,00;0,00;4,00;0,00;29,00;0,00;4,00;4,00;8,00;12,00;4,00;0,00;8,00;41,00;8,00;4,00;20,00;8,00;4,00;12,00;4,00;0,00
2019-12-08;27,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;4,00;0,00;17,00;0,00;0,00;0,00;0,00;4,00;0,00;17,00;8,00;0,00;8,00;4,00;17,00;4,00;4,00;17,00;34,00;0,00;4,00;4,00;4,00;8,00;8,00;0,00;8,00
2019-12-15;55,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;4,00;4,00;0,00;13,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;13,00;75,00;4,00;0,00;9,00;9,00;4,00;13,00;0,00;4,00
2019-12-22;45,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00;5,00;5,00;0,00;0,00;9,00;0,00;5,00;0,00;14,00;5,00;0,00;0,00;0,00;34,00;0,00;5,00;9,00;14,00;24,00;14,00;5,00;19,00;53,00;9,00;9,00;33,00;5,00;19,00;28,00;0,00;19,00
2019-12-29;69,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;9,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;9,00;0,00;40,00;4,00;0,00;4,00;9,00;0,00;9,00;4,00;18,00;53,00;9,00;9,00;22,00;0,00;26,00;0,00;0,00;9,00
2020-01-05;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;8,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;17,00;0,00;4,00;4,00;0,00;29,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;33,00;63,00;8,00;0,00;8,00;12,00;16,00;4,00;8,00;0,00
2020-01-12;50,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;28,00;8,00;8,00;0,00;8,00;8,00;0,00;12,00;0,00;12,00;4,00;0,00;8,00;8,00;28,00;0,00;0,00;12,00;28,00;4,00;4,00;0,00;24,00;48,00;4,00;8,00;4,00;4,00;16,00;12,00;4,00;4,00
2020-01-19;82,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;12,00;12,00;4,00;8,00;4,00;0,00;16,00;0,00;8,00;8,00;4,00;0,00;4,00;46,00;0,00;4,00;4,00;29,00;0,00;8,00;0,00;41,00;70,00;8,00;4,00;0,00;8,00;16,00;12,00;4,00;16,00
2020-01-26;43,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;4,00;33,00;4,00;0,00;4,00;29,00;0,00;0,00;0,00;21,00;33,00;8,00;4,00;12,00;4,00;20,00;4,00;12,00;4,00
2020-02-02;82,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;8,00;4,00;8,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;4,00;8,00;0,00;17,00;0,00;0,00;12,00;8,00;8,00;0,00;0,00;17,00;58,00;4,00;4,00;17,00;0,00;8,00;4,00;0,00;0,00
2020-02-09;64,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;4,00;8,00;0,00;0,00;4,00;4,00;0,00;4,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;12,00;4,00;41,00;0,00;4,00;8,00;12,00;4,00;4,00;4,00;16,00;37,00;16,00;12,00;12,00;0,00;16,00;12,00;0,00;4,00
2020-02-16;43,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;4,00;8,00;0,00;0,00;25,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;41,00;12,00;0,00;8,00;0,00;0,00;0,00;4,00;12,00;49,00;8,00;12,00;16,00;0,00;4,00;8,00;4,00;4,00
